        Date        , GPU Clock [MHz] , Memory Clock [MHz] , UVD Clock [MHz] , UVD Clock [MHz] , GPU Temperature [°C] , GPU Temperature (Hot Spot) [°C] , Memory Temperature [°C] , GPU VRM Temperature [°C] , Mem1 VRM Temperature [°C] , Mem2 VRM Temperature [°C] , Fan Speed (%) [%] , Fan Speed (RPM) [RPM] , GPU Load [%] , Memory Controller Load [%] , Memory Used (Dedicated) [MB] , Memory Used (Dynamic) [MB] , GPU Chip Power Draw [W] , GPU Voltage [V] , Memory Voltage [V] , CPU Temperature [°C] , System Memory Used [MB] ,
2024-07-24 08:09:12 ,        1484.0   ,           1744.0   ,         105.0   ,         102.0   ,               63.0   ,                          71.0   ,                  56.0   ,                   48.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,         55   ,                        5   ,                       2350   ,                      337   ,                 124.0   ,         1.200   ,            0.850   ,               45.8   ,                  7999   ,
2024-07-24 08:09:13 ,        1554.0   ,           1750.0   ,         105.0   ,         102.0   ,               63.0   ,                          73.0   ,                  56.0   ,                   48.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,         52   ,                        7   ,                       2426   ,                      401   ,                 135.0   ,         0.725   ,            0.850   ,               47.8   ,                  8065   ,
2024-07-24 08:09:14 ,        1619.0   ,           1746.0   ,         105.0   ,         102.0   ,               63.0   ,                          72.0   ,                  56.0   ,                   48.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,         66   ,                        7   ,                       2426   ,                      401   ,                 148.0   ,         1.200   ,            0.850   ,               47.0   ,                  8064   ,
2024-07-24 08:09:15 ,          24.0   ,           1746.0   ,         105.0   ,         102.0   ,               59.0   ,                          59.0   ,                  56.0   ,                   49.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          1   ,                        0   ,                       2426   ,                      401   ,                  36.0   ,         1.200   ,            0.850   ,               46.4   ,                  8067   ,
2024-07-24 08:09:16 ,          46.0   ,           1748.0   ,         105.0   ,         102.0   ,               58.0   ,                          59.0   ,                  56.0   ,                   49.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          2   ,                        1   ,                       2426   ,                      401   ,                  38.0   ,         0.725   ,            0.850   ,               45.8   ,                  8065   ,
2024-07-24 08:09:17 ,          57.0   ,           1748.0   ,         105.0   ,         102.0   ,               58.0   ,                          58.0   ,                  56.0   ,                   49.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          3   ,                        1   ,                       2426   ,                      401   ,                  39.0   ,         0.725   ,            0.850   ,               45.3   ,                  8063   ,
2024-07-24 08:09:18 ,          26.0   ,           1744.0   ,         105.0   ,         102.0   ,               58.0   ,                          58.0   ,                  56.0   ,                   49.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          0   ,                        0   ,                       2426   ,                      401   ,                  36.0   ,         1.200   ,            0.850   ,               44.8   ,                  8063   ,
2024-07-24 08:09:19 ,          41.0   ,           1748.0   ,         105.0   ,         102.0   ,               59.0   ,                          59.0   ,                  56.0   ,                   49.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          1   ,                        1   ,                       2426   ,                      401   ,                  37.0   ,         0.725   ,            0.850   ,               44.5   ,                  8065   ,
2024-07-24 08:09:20 ,         109.0   ,           1744.0   ,         105.0   ,         102.0   ,               58.0   ,                          58.0   ,                  56.0   ,                   48.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          5   ,                        3   ,                       2426   ,                      401   ,                  36.0   ,         0.725   ,            0.850   ,               44.1   ,                  8063   ,
2024-07-24 08:09:21 ,         101.0   ,           1744.0   ,         105.0   ,         102.0   ,               58.0   ,                          58.0   ,                  56.0   ,                   48.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          6   ,                        3   ,                       2417   ,                      393   ,                  36.0   ,         0.725   ,            0.850   ,               43.9   ,                  8063   ,
2024-07-24 08:09:22 ,        1408.0   ,           1744.0   ,         105.0   ,         102.0   ,               61.0   ,                          68.0   ,                  56.0   ,                   48.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,         48   ,                        8   ,                       2417   ,                      393   ,                 109.0   ,         1.200   ,            0.850   ,               44.6   ,                  8067   ,
2024-07-24 08:09:23 ,        1617.0   ,           1750.0   ,         105.0   ,         102.0   ,               63.0   ,                          74.0   ,                  58.0   ,                   47.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,         57   ,                       12   ,                       2430   ,                      393   ,                 146.0   ,         0.725   ,            0.850   ,               44.5   ,                  8065   ,
2024-07-24 08:09:24 ,          81.0   ,           1746.0   ,         105.0   ,         102.0   ,               59.0   ,                          59.0   ,                  56.0   ,                   49.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          3   ,                        2   ,                       2430   ,                      393   ,                  42.0   ,         0.725   ,            0.850   ,               44.1   ,                  8067   ,
2024-07-24 08:09:25 ,          34.0   ,           1744.0   ,         105.0   ,         102.0   ,               58.0   ,                          58.0   ,                  56.0   ,                   49.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          1   ,                        1   ,                       2430   ,                      393   ,                  38.0   ,         1.200   ,            0.850   ,               43.9   ,                  8072   ,
2024-07-24 08:09:26 ,         128.0   ,           1748.0   ,         105.0   ,         102.0   ,               59.0   ,                          59.0   ,                  58.0   ,                   49.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          5   ,                        4   ,                       2430   ,                      393   ,                  45.0   ,         0.725   ,            0.850   ,               43.8   ,                  8070   ,
2024-07-24 08:09:27 ,          72.0   ,           1748.0   ,         105.0   ,         102.0   ,               59.0   ,                          59.0   ,                  56.0   ,                   49.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          4   ,                        2   ,                       2430   ,                      393   ,                  41.0   ,         0.725   ,            0.850   ,               43.5   ,                  8062   ,
2024-07-24 08:09:28 ,         112.0   ,           1748.0   ,         105.0   ,         102.0   ,               59.0   ,                          59.0   ,                  56.0   ,                   49.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          5   ,                        3   ,                       2430   ,                      393   ,                  44.0   ,         0.725   ,            0.850   ,               43.4   ,                  8061   ,
2024-07-24 08:09:29 ,         124.0   ,           1746.0   ,         105.0   ,         102.0   ,               58.0   ,                          58.0   ,                  56.0   ,                   48.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          3   ,                        4   ,                       2430   ,                      393   ,                  44.0   ,         0.725   ,            0.850   ,               43.3   ,                  8063   ,
2024-07-24 08:09:30 ,          37.0   ,           1748.0   ,         105.0   ,         102.0   ,               58.0   ,                          58.0   ,                  56.0   ,                   48.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          1   ,                        1   ,                       2430   ,                      393   ,                  38.0   ,         0.725   ,            0.850   ,               43.0   ,                  8063   ,
2024-07-24 08:09:31 ,          48.0   ,           1746.0   ,         105.0   ,         102.0   ,               58.0   ,                          58.0   ,                  56.0   ,                   48.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          1   ,                        1   ,                       2430   ,                      393   ,                  38.0   ,         0.725   ,            0.850   ,               42.9   ,                  8063   ,
2024-07-24 08:09:32 ,          65.0   ,           1746.0   ,         105.0   ,         102.0   ,               58.0   ,                          58.0   ,                  56.0   ,                   48.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          1   ,                        2   ,                       2430   ,                      393   ,                  40.0   ,         0.725   ,            0.850   ,               42.9   ,                  8063   ,
2024-07-24 08:09:33 ,          98.0   ,           1748.0   ,         105.0   ,         102.0   ,               58.0   ,                          58.0   ,                  58.0   ,                   48.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          5   ,                        3   ,                       2430   ,                      393   ,                  43.0   ,         0.725   ,            0.850   ,               43.0   ,                  8054   ,
2024-07-24 08:09:34 ,          39.0   ,           1748.0   ,         105.0   ,         102.0   ,               58.0   ,                          58.0   ,                  58.0   ,                   48.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          1   ,                        1   ,                       2434   ,                      393   ,                  38.0   ,         0.725   ,            0.850   ,               43.0   ,                  8053   ,
2024-07-24 08:09:35 ,          42.0   ,           1746.0   ,         105.0   ,         102.0   ,               58.0   ,                          58.0   ,                  58.0   ,                   48.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          1   ,                        1   ,                       2434   ,                      393   ,                  38.0   ,         0.725   ,            0.850   ,               42.9   ,                  8061   ,
2024-07-24 08:09:36 ,          83.0   ,           1748.0   ,         105.0   ,         102.0   ,               59.0   ,                          59.0   ,                  58.0   ,                   48.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          3   ,                        2   ,                       2434   ,                      393   ,                  41.0   ,         0.725   ,            0.850   ,               42.8   ,                  8059   ,
